Day,Section,Round Number,Continued From Early,Scheduled Start,Scheduled End,Client Name,Slot Info,Postcode,Original Start,Shift (min),Shift Note
Sat,EARLY,4,No,07:00,08:30,Client 52,slot 1 of 2,TN15 6DL,07:00,0,no shift
Sat,EARLY,4,No,07:00,08:30,Client 52,slot 2 of 2,TN15 6DL,07:00,0,no shift
Sat,EARLY,4,No,08:30,09:00,Client 52,,TN15 6DL,08:30,0,no shift
Sat,EARLY,4,No,09:11,10:11,Client 27,,DA3 8HB,09:00,11,shifted 11 min later
Sat,EARLY,4,No,10:13,10:43,Client 63,,DA3 8HR,10:15,-2,shifted 2 min earlier
Sat,EARLY,4,No,11:01,12:01,Client 40,,DA1 2SW,11:00,1,shifted 1 min later
Sat,EARLY,4,No,12:30,13:30,Client 96,,DA2 7ND,12:45,-15,shifted 15 min earlier
Sat,EARLY,4,No,13:47,14:17,Client 54,,DA13 9DR,13:45,2,shifted 2 min later
Sat,EARLY,5,No,07:00,08:00,Client 75,,DA13 9ND,07:00,0,no shift
Sat,EARLY,5,No,08:30,09:15,Client 54,,DA13 9DR,08:45,-15,shifted 15 min earlier
Sat,EARLY,5,No,10:00,10:30,Client 95,,DA3 7LD,10:15,-15,shifted 15 min earlier
Sat,EARLY,5,No,10:35,11:05,Client 51,,DA3 8LB,10:20,15,shifted 15 min later
Sat,EARLY,5,No,11:45,12:15,Client 23,,DA11 8PJ,12:00,-15,shifted 15 min earlier
Sat,EARLY,5,No,12:30,13:00,Client 59,slot 1 of 2,DA13 9DR,12:45,-15,shifted 15 min earlier
Sat,EARLY,5,No,12:30,13:00,Client 59,slot 2 of 2,DA13 9DR,12:45,-15,shifted 15 min earlier
Sat,EARLY,5,No,13:00,13:30,Client 35,,DA13 9DR,13:15,-15,shifted 15 min earlier
Sat,EARLY,5,No,13:55,14:25,Client 26,slot 1 of 2,ME8 8PB,13:50,5,shifted 5 min later
Sat,EARLY,5,No,13:55,14:25,Client 26,slot 2 of 2,ME8 8PB,13:50,5,shifted 5 min later
Sat,EARLY,6,No,07:00,07:45,Client 76,slot 1 of 2,DA3 7RW,07:00,0,no shift
Sat,EARLY,6,No,07:00,07:45,Client 76,slot 2 of 2,DA3 7RW,07:00,0,no shift
Sat,EARLY,6,No,07:50,08:35,Client 11,,DA3 8RE,08:00,-10,shifted 10 min earlier
Sat,EARLY,6,No,08:50,09:50,Client 7,,DA3 7RR,09:05,-15,shifted 15 min earlier
Sat,EARLY,6,No,10:15,10:45,Client 21,,DA2 8BY,10:30,-15,shifted 15 min earlier
Sat,EARLY,6,No,11:01,14:01,Client 91,,ME3 7BB,11:00,1,shifted 1 min later
Sat,LATE,6,Yes,17:05,17:35,Client 6,,BR8 7RA,17:20,-15,shifted 15 min earlier
Sat,LATE,6,Yes,17:45,18:45,Client 64,,BR8 7XW,18:00,-15,shifted 15 min earlier
Sat,LATE,6,Yes,19:15,19:45,Client 12,,DA4 9AA,19:30,-15,shifted 15 min earlier
Sat,LATE,6,Yes,19:54,20:24,Client 8,,DA1 1YH,19:45,9,shifted 9 min later
Sat,LATE,6,Yes,20:53,21:23,Client 26,slot 1 of 2,ME8 8PB,21:00,-7,shifted 7 min earlier
Sat,LATE,6,Yes,20:53,21:23,Client 26,slot 2 of 2,ME8 8PB,21:00,-7,shifted 7 min earlier
Sat,EARLY,7,No,08:55,09:55,Client 34,,DA1 2PU,09:00,-5,shifted 5 min earlier
Sat,EARLY,7,No,10:08,10:38,Client 24,,DA10 0HD,10:00,8,shifted 8 min later
Sat,EARLY,7,No,12:06,12:51,Client 2,,DA12 5AS,12:00,6,shifted 6 min later
Sat,EARLY,7,No,13:19,13:49,Client 72,,ME8 8EH,13:15,4,shifted 4 min later
Sat,EARLY,8,No,07:00,07:30,Client 86,,DA3 8BU,07:00,0,no shift
Sat,EARLY,8,No,07:33,08:03,Client 69,,DA3 7BH,07:30,3,shifted 3 min later
Sat,EARLY,8,No,08:13,09:13,Client 12,,DA4 9AA,08:00,13,shifted 13 min later
Sat,EARLY,8,No,09:32,10:17,Client 74,,DA13 0TH,09:20,12,shifted 12 min later
Sat,EARLY,8,No,13:32,14:02,Client 30,,DA13 9JP,13:20,12,shifted 12 min later
Sat,EARLY,8,No,14:22,14:52,Client 74,,DA13 0TH,14:10,12,shifted 12 min later
Sat,EARLY,8,No,15:27,15:57,Client 76,slot 1 of 2,DA3 7RW,15:15,12,shifted 12 min later
Sat,EARLY,8,No,15:27,15:57,Client 76,slot 2 of 2,DA3 7RW,15:15,12,shifted 12 min later
Sat,LATE,8,Yes,16:12,17:42,Client 7,,DA3 7RR,16:00,12,shifted 12 min later
Sat,LATE,8,Yes,18:07,18:37,Client 74,,DA13 0TH,17:55,12,shifted 12 min later
Sat,LATE,8,Yes,18:49,19:19,Client 95,,DA3 7LD,18:30,19,shifted 19 min later
Sat,LATE,8,Yes,19:31,20:01,Client 44,,DA11 9HL,19:10,21,shifted 21 min later
Sat,LATE,8,Yes,20:27,20:57,Client 48,,DA10 0AZ,20:15,12,shifted 12 min later
Sat,LATE,8,Yes,21:12,21:42,Client 34,,DA1 2PU,21:00,12,shifted 12 min later
Sat,EARLY,9,No,07:45,08:15,Client 8,,DA1 1YH,07:45,0,no shift
Sat,EARLY,9,No,09:50,10:35,Client 53,,DA4 9DQ,10:05,-15,shifted 15 min earlier
Sat,EARLY,9,No,11:49,12:19,Client 76,slot 1 of 2,DA3 7RW,12:00,-11,shifted 11 min earlier
Sat,EARLY,9,No,11:49,12:19,Client 76,slot 2 of 2,DA3 7RW,12:00,-11,shifted 11 min earlier
Sat,EARLY,10,No,07:45,08:30,Client 29,slot 1 of 2,ME8 9SZ,07:45,0,no shift
Sat,EARLY,10,No,07:45,08:30,Client 29,slot 2 of 2,ME8 9SZ,07:45,0,no shift
Sat,EARLY,10,No,08:33,09:03,Client 31,,ME8 9BB,08:30,3,shifted 3 min later
Sat,EARLY,10,No,09:35,10:20,Client 26,slot 1 of 2,ME8 8PB,09:50,-15,shifted 15 min earlier
Sat,EARLY,10,No,09:35,10:20,Client 26,slot 2 of 2,ME8 8PB,09:50,-15,shifted 15 min earlier
Sat,EARLY,11,No,09:00,09:45,Client 72,,ME8 8EH,09:15,-15,shifted 15 min earlier
Sat,EARLY,11,No,12:34,13:04,Client 53,,DA4 9DQ,12:45,-11,shifted 11 min earlier
Sat,EARLY,12,No,08:00,08:45,Client 49,,ME3 7JE,08:00,0,no shift
Sat,EARLY,12,No,08:47,09:17,Client 18,slot 1 of 2,ME3 7BD,08:35,12,shifted 12 min later
Sat,EARLY,12,No,08:47,09:17,Client 18,slot 2 of 2,ME3 7BD,08:35,12,shifted 12 min later
Sat,EARLY,12,No,09:19,09:49,Client 42,slot 1 of 2,ME3 7EW,09:05,14,shifted 14 min later
Sat,EARLY,12,No,09:19,09:49,Client 42,slot 2 of 2,ME3 7EW,09:05,14,shifted 14 min later
Sat,EARLY,12,No,09:49,10:19,Client 42,slot 1 of 2,ME3 7EW,10:00,-11,shifted 11 min earlier
Sat,EARLY,12,No,09:49,10:19,Client 42,slot 2 of 2,ME3 7EW,10:00,-11,shifted 11 min earlier
Sat,EARLY,12,No,10:19,11:19,Client 87,,ME3 7EW,10:10,9,shifted 9 min later
Sat,EARLY,13,No,08:15,08:45,Client 6,,BR8 7RA,08:15,0,no shift
Sat,EARLY,13,No,08:47,09:47,Client 64,,BR8 7XW,09:00,-13,shifted 13 min earlier
Sat,EARLY,13,No,10:07,10:52,Client 50,,DA11 9DY,10:10,-3,shifted 3 min earlier
Sat,EARLY,13,No,11:06,11:36,Client 61,,DA12 2QN,11:00,6,shifted 6 min later
Sat,EARLY,13,No,12:30,13:30,Client 52,slot 1 of 2,TN15 6DL,12:45,-15,shifted 15 min earlier
Sat,EARLY,13,No,12:30,13:30,Client 52,slot 2 of 2,TN15 6DL,12:45,-15,shifted 15 min earlier
Sat,EARLY,14,No,08:15,09:15,Client 68,,DA11 0PU,08:15,0,no shift
Sat,EARLY,14,No,09:23,10:08,Client 70,,DA12 5NT,09:30,-7,shifted 7 min earlier
Sat,EARLY,14,No,10:19,10:49,Client 55,,ME3 7ER,10:05,14,shifted 14 min later
Sat,EARLY,15,No,08:50,09:20,Client 5,,DA13 0EL,08:50,0,no shift
Sat,EARLY,15,No,09:30,10:15,Client 17,,DA12 5EB,09:30,0,no shift
Sat,EARLY,15,No,10:45,16:45,Client 52,,TN15 6DL,11:00,-15,shifted 15 min earlier
Sat,LATE,15,Yes,16:56,18:56,Client 27,,DA3 8HB,17:00,-4,shifted 4 min earlier
Sat,EARLY,16,No,09:00,09:30,Client 84,,DA12 4DY,09:00,0,no shift
Sat,EARLY,17,No,09:10,09:40,Client 44,,DA11 9HL,09:10,0,no shift
Sat,EARLY,18,No,09:10,09:40,Client 57,,ME2 3UH,09:10,0,no shift
Sat,EARLY,19,No,09:15,09:45,Client 41,slot 1 of 2,ME2 3TQ,09:15,0,no shift
Sat,EARLY,19,No,09:15,09:45,Client 41,slot 2 of 2,ME2 3TQ,09:15,0,no shift
Sat,EARLY,20,No,09:15,10:00,Client 83,,ME5 8JA,09:15,0,no shift
Sat,EARLY,21,No,07:45,09:45,Client 37,,ME5 7SA,08:00,-15,shifted 15 min earlier
Sat,EARLY,21,No,15:50,16:50,Client 40,,DA1 2SW,15:50,0,no shift
Sat,EARLY,21,No,16:56,17:26,Client 8,,DA1 1YH,17:10,-14,shifted 14 min earlier
Sat,LATE,21,Yes,18:00,18:30,Client 96,,DA2 7ND,18:15,-15,shifted 15 min earlier
Sat,LATE,21,Yes,19:00,19:30,Client 62,,DA2 6RW,19:15,-15,shifted 15 min earlier
Sat,LATE,21,Yes,19:55,20:25,Client 76,slot 1 of 2,DA3 7RW,20:10,-15,shifted 15 min earlier
Sat,LATE,21,Yes,19:55,20:25,Client 76,slot 2 of 2,DA3 7RW,20:10,-15,shifted 15 min earlier
Sat,EARLY,22,No,08:45,09:45,Client 90,slot 1 of 2,ME2 2EH,09:00,-15,shifted 15 min earlier
Sat,EARLY,22,No,16:10,16:40,Client 62,,DA2 6RW,16:10,0,no shift
Sat,EARLY,22,No,16:45,17:15,Client 20,,DA2 6DA,16:45,0,no shift
Sat,LATE,22,Yes,17:33,19:03,Client 52,,TN15 6DL,17:30,3,shifted 3 min later
Sat,LATE,22,Yes,19:12,19:42,Client 53,,DA4 9DQ,19:00,12,shifted 12 min later
Sat,EARLY,23,No,08:45,09:45,Client 90,slot 2 of 2,ME2 2EH,09:00,-15,shifted 15 min earlier
Sat,LATE,23,Yes,20:27,20:57,Client 29,slot 1 of 2,ME8 9SZ,20:15,12,shifted 12 min later
Sat,LATE,23,Yes,20:27,20:57,Client 29,slot 2 of 2,ME8 9SZ,20:15,12,shifted 12 min later
Sat,EARLY,24,No,09:00,09:30,Client 36,,ME2 3QD,09:15,-15,shifted 15 min earlier
Sat,EARLY,24,No,16:45,17:30,Client 77,,DA11 7FU,16:45,0,no shift
Sat,LATE,24,Yes,17:42,18:12,Client 89,,ME2 1LJ,17:30,12,shifted 12 min later
Sat,LATE,24,Yes,19:22,19:52,Client 41,slot 1 of 2,ME2 3TQ,19:15,7,shifted 7 min later
Sat,LATE,24,Yes,19:22,19:52,Client 41,slot 2 of 2,ME2 3TQ,19:15,7,shifted 7 min later
Sat,EARLY,25,No,16:35,17:05,Client 36,,ME2 3QD,16:50,-15,shifted 15 min earlier
Sat,LATE,25,Yes,17:34,18:04,Client 26,slot 1 of 2,ME8 8PB,17:30,4,shifted 4 min later
Sat,LATE,25,Yes,17:34,18:04,Client 26,slot 2 of 2,ME8 8PB,17:30,4,shifted 4 min later
Sat,LATE,25,Yes,18:15,18:45,Client 72,,ME8 8EH,18:30,-15,shifted 15 min earlier
Sat,LATE,26,No,17:30,18:30,Client 52,,TN15 6DL,17:30,0,no shift
Sat,LATE,27,No,18:30,19:00,Client 45,,DA11 7JR,18:30,0,no shift
